"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2021M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2790044"
"2021M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2792155"
"2021M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1624"
"2021M02","Mėnesinis mirusiųjų skaičius","asmenys","3740"
"2021M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2795175"
"2021M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1678"
"2021M01","Mėnesinis mirusiųjų skaičius","asmenys","4981"
"2020M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2797223"
"2020M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1804"
"2020M12","Mėnesinis mirusiųjų skaičius","asmenys","5834"
"2020M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2797907"
"2020M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1920"
"2020M11","Mėnesinis mirusiųjų skaičius","asmenys","4331"
"2020M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2797732"
"2020M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2066"
"2020M10","Mėnesinis mirusiųjų skaičius","asmenys","3565"
"2020M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2797111"
"2020M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2331"
"2020M09","Mėnesinis mirusiųjų skaičius","asmenys","3203"
"2020M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2796424"
"2020M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2362"
"2020M08","Mėnesinis mirusiųjų skaičius","asmenys","3375"
"2020M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2795230"
"2020M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2357"
"2020M07","Mėnesinis mirusiųjų skaičius","asmenys","3043"
"2020M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2794361"
"2020M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2236"
"2020M06","Mėnesinis mirusiųjų skaičius","asmenys","3535"
"2020M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793869"
"2020M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2006"
"2020M05","Mėnesinis mirusiųjų skaičius","asmenys","3046"
"2020M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793483"
"2020M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1986"
"2020M04","Mėnesinis mirusiųjų skaičius","asmenys","3323"
"2020M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793854"
"2020M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1731"
"2020M03","Mėnesinis mirusiųjų skaičius","asmenys","3571"
"2020M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793450"
"2020M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1808"
"2020M02","Mėnesinis mirusiųjų skaičius","asmenys","3085"
"2020M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2794090"
"2020M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1923"
"2020M01","Mėnesinis mirusiųjų skaičius","asmenys","3530"
"2019M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2794061"
"2019M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","1686"
"2019M12","Mėnesinis mirusiųjų skaičius","asmenys","3214"
"2019M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793926"
"2019M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2105"
"2019M11","Mėnesinis mirusiųjų skaičius","asmenys","3022"
"2019M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793809"
"2019M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2240"
"2019M10","Mėnesinis mirusiųjų skaičius","asmenys","3065"
"2019M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793601"
"2019M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2528"
"2019M09","Mėnesinis mirusiųjų skaičius","asmenys","2835"
"2019M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2793280"
"2019M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2535"
"2019M08","Mėnesinis mirusiųjų skaičius","asmenys","2976"
"2019M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2792209"
"2019M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2721"
