Lead,Lead I
-58,044
-64,381
-70,675
-76,825
-82,74
-88,333
-93,516
-98,21
-102,361
-105,928
-108,898
-111,281
-113,096
-114,376
-115,178
-115,565
-115,607
-115,388
-114,975
-114,425
-113,793
-113,127
-112,482
-111,908
-111,438
-111,097
-110,895
-110,832
-110,907
-111,11
-111,412
-111,782
-112,182
-112,57
-112,919
-113,208
-113,421
-113,547
-113,57
-113,48
-113,272
-112,949
-112,514
-111,971
-111,326
-110,584
-109,759
-108,87
-107,936
-106,978
-106,011
-105,043
-104,084
-103,141
-102,217
-101,318
-100,444
-99,594
-98,768
-97,967
-97,193
-96,449
-95,733
-95,045
-94,382
-93,741
-93,121
-92,52
-91,937
-91,369
-90,818
-90,281
-89,76
-89,254
-88,764
-88,289
-87,827
-87,376
-86,936
-86,504
-86,079
-85,659
-85,243
-84,83
-84,419
-84,008
-83,598
-83,186
-82,772
-82,355
-81,933
-81,506
-81,07
-80,626
-80,171
-79,706
-79,227
-78,736
-78,23
-77,71
-77,175
-76,623
-76,056
-75,473
-74,873
-74,258
-73,626
-72,979
-72,318
-71,642
-70,954
-70,254
-69,543
-68,823
-68,094
-67,359
-66,617
-65,87
-65,12
-64,368
-63,615
-62,862
-62,112
-61,365
-60,624
-59,891
-59,167
-58,453
-57,753
-57,067
-56,398
-55,746
-55,115
-54,505
-53,918
-53,356
-52,82
-52,311
-51,832
-51,383
-50,966
-50,581
-50,229
-49,913
-49,632
-49,387
-49,18
-49,012
-48,882
-48,793
-48,744
-48,738
-48,773
-48,852
-48,974
-49,141
-49,351
-49,606
-49,906
-50,25
-50,639
-51,071
-51,547
-52,066
-52,626
-53,227
-53,867
-54,544
-55,257
-56,003
-56,78
-57,586
-58,418
-59,274
-60,149
-61,042
-61,947
-62,863
-63,783
-64,706
-65,625
-66,538
-67,44
-68,326
-69,191
-70,031
-70,841
-71,617
-72,354
-73,047
-73,692
-74,286
-74,823
-75,3
-75,715
-76,063
-76,344
-76,553
-76,691
-76,754
-76,744
-76,658
-76,497
-76,261
-75,951
-75,57
-75,118
-74,597
-74,012
-73,364
-72,658
-71,896
-71,083
-70,224
-69,321
-68,381
-67,407
-66,406
-65,382
-64,34
-63,285
-62,223
-61,158
-60,095
-59,039
-57,993
-56,96
-55,944
-54,948
-53,975
-53,025
-52,101
-51,203
-50,333
-49,49
-48,675
-47,884
-47,118
-46,373
-45,648
-44,938
-44,241
-43,552
-42,867
-42,181
-41,491
-40,792
-40,078
-39,346
-38,59
-37,807
-36,992
-36,14
-35,246
-34,306
-33,313
-32,269
-31,174
-30,027
-28,828
-27,577
-26,275
-24,926
-23,537
-22,105
-20,633
-19,12
-17,569
-15,99
-14,394
-12,791
-11,193
-9,607
-8,038
-6,499
-5,002
-3,554
-2,165
-0,837
0,427
1,604
2,672
3,612
4,405
5,041
5,515
5,815
5,93
5,85
5,563
5,066
4,362
3,432
2,26
0,833
-0,868
-2,83
-5,032
-7,459
-10,092
-12,908
-15,887
-18,993
-22,186
-25,436
-28,705
-31,966
-35,195
-38,345
-41,37
-44,222
-46,833
-49,175
-51,252
-53,062
-54,638
-56,007
-57,142
-58,118
-59,098
-60,22
-61,663
-63,509
-65,649
-68,144
-71,228
-74,892
-78,987
-83,213
-86,951
-89,951
-92,42
-94,279
-95,25
-95,313
-94,54
-93,527
-93,513
-95,134
-98,353
-103,159
-109,434
-116,941
-125,284
-133,107
-138,142
-138,439
-132,472
-119,102
-97,598
-67,181
-27,428
20,934
76,129
135,845
197,449
258,502
316,661
369,241
413,723
448,136
471,174
482,361
481,812
469,872
447,213
414,857
374,016
326,234
273,115
216,075
156,625
96,182
36,106
-21,841
-75,786
-124,168
-165,496
-198,472
-222,38
-236,58
-240,732
-235,576
-222,485
-203,123
-179,653
-154,301
-128,966
-105,703
-86,349
-71,743
-62,101
-57,145
-55,917
-57,265
-60,063
-62,892
-64,499
-64,27
-61,947
-57,634
-51,866
-45,244
-38,418
-32,222
-27,272
-23,826
-21,972
-21,577
-22,35
-24,025
-26,276
-28,692
-31,001
-33,049
-34,725
-36,014
-36,907
-37,361
-37,368
-36,955
-36,136
-34,933
-33,38
-31,492
-29,309
-26,888
-24,281
-21,541
